базе УрФУ создан|1
УрФУ создан мировой|1
создан мировой IT-центр|1
мировой IT-центр «Новая|1
IT-центр «Новая реклама»|1
«Новая реклама» незаконно|1
реклама» незаконно использовала|1
незаконно использовала логотип|1
использовала логотип УрФУ|1
логотип УрФУ Готово|1
УрФУ Готово приёму|1
Готово приёму студентов|1
приёму студентов новое|1
студентов новое 10-этажное|1
новое 10-этажное общежитие|1
10-этажное общежитие УрФУ|1
общежитие УрФУ Шарташе|1
УрФУ Шарташе начинается|1
Шарташе начинается стройка|1
начинается стройка нового|1
